"ID","Class","Severity","Ruleset(s)","Message","Guidance","Context (Xpath)","Test (Xpath)"
11.1.2,information,Error,iati,The planned start date must be before the planned end date.,https://drive.google.com/file/d/1-R-xGMCrAKiadMBIHsNc4Xvl75CB0IV1/view,iati-activity,activity-date[@type='1']/@iso-date and activity-date[@type='1']/@iso-date castable as xs:date and activity-date[@type='3']/@iso-date and activity-date[@type='3']/@iso-date castable as xs:date and xs:date(activity-date[@type='1']/@iso-date) gt xs:date(activity-date[@type='3']/@iso-date)
11.1.3,information,Error,iati,The actual start date must be before the actual end date.,https://drive.google.com/file/d/1-R-xGMCrAKiadMBIHsNc4Xvl75CB0IV1/view,iati-activity,activity-date[@type='2']/@iso-date and activity-date[@type='2']/@iso-date castable as xs:date and activity-date[@type='4']/@iso-date and activity-date[@type='4']/@iso-date castable as xs:date and xs:date(activity-date[@type='2']/@iso-date) gt xs:date(activity-date[@type='4']/@iso-date)
11.1.4,information,Error,iati,The actual start date of the activity must not be in the future.,https://drive.google.com/file/d/1-R-xGMCrAKiadMBIHsNc4Xvl75CB0IV1/view,iati-activity,activity-date[@type='2']/@iso-date and activity-date[@type='2']/@iso-date castable as xs:date and xs:date(activity-date[@type='2']/@iso-date) gt xs:date($now)
11.1.5,information,Error,iati,The actual end date of the activity must not be in the future.,https://drive.google.com/file/d/1-R-xGMCrAKiadMBIHsNc4Xvl75CB0IV1/view,iati-activity,activity-date[@type='4']/@iso-date and activity-date[@type='4']/@iso-date castable as xs:date and xs:date(activity-date[@type='4']/@iso-date) gt xs:date($now)
11.2.1,financial,Error,iati,The transaction date must not be in the future.,https://drive.google.com/file/d/1E3hztk6gWTW5DypLELeSwW5X-Ahg0yjm/view,transaction,transaction-date/@iso-date and transaction-date/@iso-date castable as xs:date and xs:date(transaction-date/@iso-date) gt xs:date($now)
11.2.2,financial,Error,iati,The transaction value date must not be in the future.,https://drive.google.com/file/d/1E3hztk6gWTW5DypLELeSwW5X-Ahg0yjm/view,transaction,value/@value-date and value/@value-date castable as xs:date and xs:date(value/@value-date) gt xs:date($now)
11.3.1,financial,Error,iati,The budget line value date must be in the budget period.,https://drive.google.com/file/d/1mv2Q666tKBOAoiy5JayslmZNetxDM1uu/view,recipient-country-budget/budget-line/value[@value-date],@value-date castable as xs:date and ../../period-start/@iso-date and ../../period-start/@iso-date castable as xs:date and ../../period-end/@iso-date and ../../period-end/@iso-date castable as xs:date and (xs:date(@value-date) lt xs:date(../../period-start/@iso-date) or xs:date(@value-date) gt xs:date(../../period-end/@iso-date))
11.4.1,information,Error,iati,The last-updated-datetime of the organisation must not be in the future.,,iati-organisation,@last-updated-datetime and @last-updated-datetime castable as xs:dateTime and xs:dateTime(@last-updated-datetime) gt $now
12.1.1,geo,Error,iati:2.03,The percentage must be between 0.0 and 100.0 (inclusive).,https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view,(recipient-country|recipient-region)[@percentage],$iati-version = '2.03' and @percentage castable as xs:decimal and (xs:decimal(@percentage) lt 0 or xs:decimal(@percentage) gt 100)
12.1.2,geo,Error,iati:< 2.03,The percentage must be 0.0 or positive.,https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view,(recipient-country|recipient-region)[@percentage],$iati-version ne '2.03' and @percentage castable as xs:decimal and xs:decimal(@percentage) lt 0
12.2.1,financial,Error,iati:2.03,The percentage must be between 0.0 and 100.0 (inclusive).,{me:iati-url('activity-standard/iati-activities/iati-activity/capital-spend/')},(capital-spend|budget-item)[@percentage],$iati-version = '2.03' and @percentage castable as xs:decimal and (xs:decimal(@percentage) lt 0 or xs:decimal(@percentage) gt 100)
12.2.2,financial,Error,iati:< 2.03,The percentage must be 0.0 or positive.,{me:iati-url('activity-standard/iati-activities/iati-activity/capital-spend/')},(capital-spend|budget-item)[@percentage],$iati-version ne '2.03' and @percentage castable as xs:decimal and xs:decimal(@percentage) lt 0
12.3.1,classifications,Error,iati:2.03,The percentage must be between 0.0 and 100.0 (inclusive).,https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view,sector[@percentage],$iati-version = '2.03' and @percentage castable as xs:decimal and (xs:decimal(@percentage) lt 0 or xs:decimal(@percentage) gt 100)
12.3.2,classifications,Error,iati:< 2.03,The percentage must be 0.0 or positive.,https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view,sector[@percentage],$iati-version ne '2.03' and @percentage castable as xs:decimal and xs:decimal(@percentage) lt 0
12.4.1,geo,Error,iati,The percentage must be a numerical value.,https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view,@percentage,not(. castable as xs:decimal)
2.1.1,classifications,,,"Percentages are missing for one or more sectors, within a vocabulary (e.g. 1 - OECD DAC).",{me:iati-url(https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view)},iati-activity[sector],count($group[not(@percentage)]) > 0
2.1.2,classifications,,,"Percentages for sectors, within a vocabulary (e.g. 1 - OECD DAC), {$verb} add up to 100%.",{me:iati-url(https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view)},iati-activity[sector],abs(sum($group/@percentage[. castable as xs:decimal])-100) > 0.0101
2.1.4,classifications,,,"For a single sector, the percentage must either be omitted, or set to 100.",{me:iati-url(https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view)},iati-activity[sector],$group/@percentage and $group/@percentage castable as xs:decimal and xs:decimal($group/@percentage) !=100
2.2.1,classifications,Error,iati,"When using a reporting organisation sector code, it must include a narrative.",https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view,"sector[@vocabulary=('98', '99')]",not(narrative)
